"性","セイ"
"新","あたらし"
"新子","あたらし"
"新屋","あたらしや"
"阿多利","あたり"
"中","あたり"
"当","あたり"
"當","あたり"
"阿田川","あだがわ"
"阿達","あだち"
"芦達","あだち"
"芦立","あだち"
"安達","あだち"
"安立","あだち"
"安逹","あだち"
"足達","あだち"
"足立","あだち"
"明立","あだち"
"足立原","あだちはら"
"安谷屋","あだにや"
"東奥","あちおく"
"阿知波","あちは"
"阿知葉","あちは"
"阿知葉","あちば"
"阿茶","あちゃ"
"阿知羅","あちら"
"阿知良","あちら"
"阿知波","あちわ"
"阿知和","あちわ"
"安食","あぢき"
"鰺坂","あぢさか"
"且来","あっそ"
"遖","あっぱり"
"阿津","あつ"
"厚","あつ"
"厚井","あつい"
"厚海","あつうみ"
"厚浦","あつうら"
"阿津川","あつかわ"
"厚川","あつかわ"
"厚ケ瀬","あつがせ"
"厚ヶ瀬","あつがせ"
"安月","あつき"
"厚木","あつき"
"厚木","あつぎ"
"敦澤","あつさわ"
"厚沢","あつざわ"
"厚澤","あつざわ"
"厚","あつし"
"篤","あつし"
"厚芝","あつしば"
"阿辻","あつじ"
"阿閉","あつじ"
"厚地","あつじ"
"厚田","あつた"
"敦田","あつた"
"熱田","あつた"
"圧地","あつち"
"厚地","あつち"
"厚地","あつぢ"
"安津畑","あつはた"
"渥見","あつみ"
"渥美","あつみ"
"安海","あつみ"
"厚海","あつみ"
"厚見","あつみ"
"厚美","あつみ"
"厚味","あつみ"
"敦見","あつみ"
"熱海","あつみ"
"厚村","あつむら"
"厚目","あつめ"
"厚母","あつも"
"厚谷","あつや"
"厚綿","あつわた"
"阿津","あづ"
"小豆澤","あづきざわ"
"吾田","あづた"
"阿津地","あづち"
"安土","あづち"
"足土","あづち"
"阿妻","あづま"
"安妻","あづま"
"我妻","あづま"
"吾妻","あづま"
"四阿","あづま"
"東","あづま"
"東生","あづま"
"東都","あづま"
"安海","あづみ"
"安積","あづみ"
"阿天坊","あてんぼう"
"阿出川","あでかわ"
"阿出川","あでがわ"
"阿戸","あと"
"後出","あといで"
"阿藤","あとう"
"阿刀田","あとうだ"
"後上","あとがみ"
"後神","あとがみ"
"跡上","あとがみ"
"後口","あとぐち"
"阿閉","あとじ"
"跡治","あとじ"
"跡地","あとじ"
"阿刀田","あとだ"
"後野","あとの"
"後原","あとはら"
"跡部","あとべ"
"跡辺","あとべ"
"跡邊","あとべ"
"跡見","あとみ"
"後山","あとやま"
"後路","あとろ"
"阿戸","あど"
"網頭","あどう"
"穴井","あない"
"穴生","あなお"
"穴太","あなお"
"穴織","あなおり"
"穴風","あなかぜ"
"穴竈","あながま"
"穴川","あながわ"
"穴久保","あなくぼ"
"穴倉","あなくら"
"穴蔵","あなくら"
"穴口","あなぐち"
"穴蔵","あなぐら"
"穴沢","あなざわ"
"穴澤","あなざわ"
"穴繁","あなしげ"
"穴瀬","あなせ"
"英","あなた"
"穴谷","あなたに"
"穴田","あなだ"
"穴地","あなち"
"穴鳥","あなとり"
"穴原","あなはら"
"穴原","あなばら"
"穴吹","あなぶき"
"穴穂","あなほ"
"穴穗","あなほ"
"阿南","あなみ"
"穴見","あなみ"
"穴水","あなみず"
"穴光","あなみつ"
"穴本","あなもと"
"穴山","あなやま"
"阿南","あなん"
"穴南","あなん"
"兄井","あにい"
"安仁屋","あにや"
"喜友名","あにや"
"姉川","あねかわ"
"姉川","あねがわ"
"姉崎","あねさき"
"姉崎","あねざき"
"姉帯","あねたい"
"姉歯","あねは"
"阿野","あの"
"吾野","あの"
"阿納","あのう"
"安野谷","あのたに"
"安濃田","あのだ"
"阿波根","あはごん"
"阿原","あはら"
"阿波連","あはれん"
"阿波","あば"
"阿波嵜","あばさき"
"阿彦","あひこ"
"安彦","あひこ"
"網引","あびき"
"阿比倉","あびくら"
"阿彦","あびこ"
"安孫子","あびこ"
"安彦","あびこ"
"我孫子","あびこ"
"吾孫子","あびこ"
"阿比野","あびの"
"阿比留","あびる"
"阿蒜","あびる"
"畔蒜","あびる"
"安富祖","あふそ"
"安冨祖","あふそ"
"阿武","あぶ"
"安封","あぶ"
"虻江","あぶえ"
"虻川","あぶかわ"
"阿吹","あぶき"
"阿武木","あぶき"
"安福","あぶく"
"鐙塚","あぶつか"
"阿武野","あぶの"
"阿踏","あぶみ"
"鎧","あぶみ"
"鐙","あぶみ"
"鐙屋","あぶみや"
"鐙谷","あぶみや"
"油","あぶら"
"油井","あぶらい"
"油石","あぶらいし"
"油川","あぶらかわ"
"油木","あぶらき"
"油座","あぶらざ"
"油田","あぶらた"
"油谷","あぶらたに"
"油田","あぶらだ"
"油野","あぶらの"
"油本","あぶらもと"
"油屋","あぶらや"
"油家","あぶらや"
"油谷","あぶらや"
"阿武","あべ"
"阿部","あべ"
"阿閉","あべ"
"阿辺","あべ"
"安倍","あべ"
"安部","あべ"
"安辺","あべ"
"安部井","あべい"
"阿部川","あべかわ"
"安部川","あべかわ"
"阿部倉","あべくら"
"安部倉","あべくら"
"阿部田","あべた"
"安部田","あべた"
"松","あべまつ"
"阿辺山","あべやま"
"安部山","あべやま"
"阿保","あぼ"
"安保","あぼ"
"英保","あぼ"
"阿保","あぼう"
"安保","あぼう"
"網干","あぼし"
"阿保谷","あぼたに"
"阿保","あぽ"
"阿万","あま"
"阿萬","あま"
"安満","あま"
"天井","あまい"
"雨池","あまいけ"
"天池","あまいけ"
"天井澤","あまいざわ"
"天石","あまいし"
"天岩","あまいわ"
"天羽","あまう"
"天雨","あまう"
"雨内","あまうち"
"天江","あまえ"
"天尾","あまお"
"天王野","あまおおの"
"天岡","あまおか"
"天岳","あまおか"
"尼岡","あまおか"
"雨海","あまかい"
"甘粕","あまかす"
"天春","あまかす"
"天粕","あまかす"
"天方","あまかた"
"雨川","あまかわ"
"天河","あまかわ"
"天川","あまかわ"
"尼川","あまかわ"
"天川谷","あまかわや"
"天賀","あまが"
"雨海","あまがい"
"雨貝","あまがい"
"雨甲斐","あまがい"
"雨谷","あまがい"
"天下井","あまがい"
"天海","あまがい"
"天貝","あまがい"
"天谷","あまがい"
"天笠","あまがさ"
"尼崎","あまがさき"
"甘粕","あまがす"
"天春","あまがす"
"天ヶ瀬","あまがせ"
"天形","あまがた"
"天方","あまがた"
"天賀谷","あまがや"
"天川","あまがわ"
"雨木","あまき"
"甘木","あまき"
"天城","あまき"
"天木","あまき"
"尼木","あまき"
"味木","あまき"
"天城","あまぎ"
"天木","あまぎ"
"天岸","あまぎし"
"甘草","あまくさ"
"甘艸","あまくさ"
"天草","あまくさ"
"天國","あまくに"
"天倉","あまくら"
"天児","あまこ"
"尼子","あまこ"
"雨越","あまこし"
"雨郡","あまごおり"
"甘佐","あまさ"
"天坂","あまさか"
"甘崎","あまさき"
"天崎","あまさき"
"尼崎","あまさき"
"甘崎","あまざき"
"天崎","あまざき"
"天沢","あまざわ"
"天下","あました"
"天瀬","あませ"
"阿万田","あまた"
"阿萬田","あまた"
"天田","あまた"
"尼田","あまた"
"甘竹","あまたけ"
"天竹","あまたけ"
"天達","あまたつ"
"天辰","あまたつ"
"天谷","あまたに"
"尼谷","あまたに"
"甘田","あまだ"
"天田","あまだ"
"尼田","あまだ"
"天達","あまだつ"
"雨知","あまち"
"天知","あまち"
"天地","あまち"
"尼丁","あまちょう"
"天津","あまつ"
"天都","あまつ"
"天津川","あまつかわ"
"天辻","あまつじ"
"天土","あまつち"
"天筒","あまつつ"
"天堤","あまつつみ"
"雨堤","あまつづみ"
"雨堤","あまづつみ"
"天富","あまとみ"
"天冨","あまとみ"
"尼留","あまどめ"
"天内","あまない"
"甘中","あまなか"
"雨沼","あまぬま"
"天沼","あまぬま"
"天根","あまね"
"雨野","あまの"
"甘濃","あまの"
"天野","あまの"
"尼野","あまの"
"天生目","あまのめ"
"天宅","あまのや"
"天羽","あまは"
"天畠","あまはた"
"天早","あまはや"
"天弘","あまひろ"
"天藤","あまふじ"
"天辺","あまべ"
"余部","あまべ"
"天堀","あまほり"
"天見","あまみ"
"雨水","あまみず"
"甘水","あまみず"
"天光","あまみつ"
"天満","あまみつ"
"雨宮","あまみや"
"天宮","あまみや"
"天都","あまみや"
"天村","あまむら"
"天目石","あまめいし"
"天本","あまもと"
"雨森","あまもり"
"雨谷","あまや"
"雨夜","あまや"
"雨矢","あまや"
"甘谷","あまや"
"天宅","あまや"
"天谷","あまや"
"天矢","あまや"
"天保","あまやす"
"甘利","あまり"
"天利","あまり"
"天鷲","あまわし"
"阿万","あまん"
"阿萬","あまん"
"阿見","あみ"
"阿美","あみ"
"阿彌","あみ"
"安見","あみ"
"網","あみ"
"網井","あみい"
"網家","あみいえ"
"網江","あみえ"
"網岡","あみおか"
"網川","あみかわ"
"網木","あみき"
"網倉","あみくら"
"網蔵","あみくら"
"網崎","あみさき"
"綱島","あみしま"
"網島","あみしま"
"網嶋","あみしま"
"網城","あみしろ"
"網代","あみしろ"
"網治","あみじ"
"網島","あみじま"
"網田","あみた"
"真鍋","あみたに"
"網谷","あみたに"
"編田","あみだ"
"網塚","あみつか"
"網塚","あみづか"
"網戸","あみと"
"網中","あみなか"
"網仲","あみなか"
"網永","あみなが"
"阿比野","あみの"
"網野","あみの"
"網浜","あみはま"
"網藤","あみふじ"
"網干","あみほし"
"網村","あみむら"
"網元","あみもと"
"網本","あみもと"
"網守","あみもり"
"阿宮","あみや"
"阿見弥","あみや"
"網屋","あみや"
"網谷","あみや"
"網矢","あみや"
"飴","あめ"
"飴井","あめい"
"飴川","あめかわ"
"雨川","あめかわ"
"天久","あめく"
"雨倉","あめくら"
"雨坂","あめさか"
"雨沢","あめざわ"
"雨澤","あめざわ"
"雨島","あめしま"
"雨嶋","あめじま"
"雨田","あめた"
"飴谷","あめたに"
"雨谷","あめたに"
"雨田","あめだ"
"雨辻","あめつじ"
"雨堤","あめつつみ"
"雨堤","あめづつみ"
"飴野","あめの"
"雨之宮","あめのみや"
"雨森","あめのもり"
"雨間","あめま"
"雨松","あめまつ"
"雨宮","あめみや"
"飴村","あめむら"
"雨森","あめもり"
"飴家","あめや"
"飴谷","あめや"
"飴矢","あめや"
"飴山","あめやま"
"雨山","あめやま"
"天羽","あもう"
"阿茂瀬","あもせ"
"阿守","あもり"
"阿野","あや"
"綾","あや"
"漢","あや"
"綾井","あやい"
"綾織","あやおり"
"綾城","あやき"
"綾木","あやき"
"漢城","あやき"
"綾小路","あやこうじ"
"綾坂","あやさか"
"綾城","あやしろ"
"安屋敷","あやじき"
"綾瀬","あやせ"
"綾田","あやた"
"綾田","あやだ"
"綾戸","あやと"
"綾塔","あやとう"
"綾戸","あやど"
"綾仁","あやに"
"綾野","あやの"
"綾部","あやべ"
"阿山","あやま"
"綾村","あやむら"
"綾女","あやめ"
"綾目","あやめ"
"菖蒲","あやめ"
"綾本","あやもと"
"綾森","あやもり"
"鮎貝","あゆかい"
"鮎川","あゆかわ"
"行川","あゆかわ"
"鮎貝","あゆがい"
"鮎ヶ瀬","あゆがせ"
"鮎沢","あゆさわ"
"鮎澤","あゆさわ"
"鮎沢","あゆざわ"
"鮎澤","あゆざわ"
"鮎瀬","あゆせ"
"鮎田","あゆた"
"阿由葉","あゆは"
"阿由葉","あゆば"
"阿羅","あら"
"阿良","あら"
"荒","あら"
"新","あら"
"新良","あら"
"荒明","あらあけ"
"荒井","あらい"
"荒居","あらい"
"新井","あらい"
"新居","あらい"
"洗","あらい"
"洗井","あらい"
"荒家","あらいえ"
"新家","あらいえ"
"洗川","あらいかわ"
"荒池","あらいけ"
"荒石","あらいし"
"荒泉","あらいずみ"
"新井田","あらいだ"
"洗平","あらいだい"
"新井場","あらいば"
"新井谷","あらいや"
"荒内","あらうち"
"荒海","あらうみ"
"荒栄","あらえ"
"荒江","あらえ"
"新江","あらえ"
"荒枝","あらえだ"
"荒生","あらお"
"荒尾","あらお"
"安良岡","あらおか"
"荒岡","あらおか"
"新垣","あらかき"
"荒角","あらかど"
"新門","あらかど"
"荒金","あらかね"
"荒河","あらかわ"
"荒川","あらかわ"
"新川","あらかわ"
"洗川","あらかわ"
"荒賀","あらが"
"荒貝","あらがい"
"新垣","あらがき"
"荒金","あらがね"
"鑛","あらがね"
"荒神","あらがみ"
"阿良木","あらき"
"安良城","あらき"
"荒記","あらき"
"荒城","あらき"
"荒木","あらき"
"新城","あらき"
"新木","あらき"
"荒木田","あらきだ"
"蘭","あらぎ"
"荒岸","あらぎし"
"荒久田","あらくだ"
"荒熊","あらくま"
"荒倉","あらくら"
"新倉","あらくら"
"嵐倉","あらくら"
"荒口","あらぐち"
"荒毛","あらけ"
"荒古","あらこ"
"荒子","あらこ"
"荒駒","あらこま"
"荒薦","あらこも"
"荒崎","あらさき"
"新崎","あらさき"
"荒沢","あらさわ"
"荒澤","あらさわ"
"嵐","あらし"
"荒鹿","あらしか"
"嵐川","あらしかわ"
"新鋪","あらしき"
"新下","あらした"
"嵐田","あらしだ"
"嵐谷","あらしだに"
"荒島","あらしま"
"嵐山","あらしやま"
"安良城","あらしろ"
"荒城","あらしろ"
"新城","あらしろ"
"荒砂","あらすな"
"荒瀬","あらせ"
"荒勢","あらせ"
"荒関","あらせき"
"荒関","あらぜき"
"荒銭","あらぜに"
"安良田","あらた"
"荒田","あらた"
"新","あらた"
"新タ","あらた"
"新多","あらた"
"新田","あらた"
"荒田川","あらたがわ"
"荒瀧","あらたき"
"荒竹","あらたけ"
"荒武","あらたけ"
"荒嶽","あらたけ"
"新","あらたし"
"荒舘","あらたて"
"顕谷","あらたに"
"荒谷","あらたに"
"新玉","あらたま"
"新田目","あらため"
"新目","あらため"
"荒舘","あらだち"
"荒地","あらち"
"荒津","あらつ"
"荒戸","あらと"
"荒砥","あらと"
"荒当","あらとう"
"荒殿","あらとの"
"荒殿","あらどの"
"荒内","あらない"
"荒永","あらなが"
"荒浪","あらなみ"
"荒濤","あらなみ"
"荒西","あらにし"
"荒納","あらの"
"荒野","あらの"
"新野","あらの"
"荒能","あらのう"
"荒橋","あらはし"
"荒幡","あらはた"
"荒畑","あらはた"
"荒畠","あらはた"
"新幡","あらはた"
"荒浜","あらはま"
"荒原","あらはら"
"荒張","あらはり"
"新治","あらはる"
"荒幡","あらはん"
"荒場","あらば"
"荒樋","あらひ"
"荒平","あらひら"
"荒引","あらびき"
"荒深","あらふか"
"荒船","あらふね"
"荒舩","あらふね"
"新舟","あらふね"
"新船","あらふね"
"荒堀","あらほり"
"荒堀","あらぼり"
"荒間","あらま"
"荒巻","あらまき"
"荒蒔","あらまき"
"荒牧","あらまき"
"新巻","あらまき"
"新牧","あらまき"
"新槙","あらまき"
"新正","あらまさ"
"荒益","あらます"
"荒俣","あらまた"
"荒又","あらまた"
"荒町","あらまち"
"荒松","あらまつ"
"荒見","あらみ"
"荒美","あらみ"
"新見","あらみ"
"荒水","あらみず"
"新宮","あらみや"
"荒目","あらめ"
"新目","あらめ"
"荒元","あらもと"
"荒本","あらもと"
"新本","あらもと"
"荒籾","あらもみ"
"新籾","あらもみ"
"荒森","あらもり"
"顕谷","あらや"
"荒屋","あらや"
"荒谷","あらや"
"荒矢","あらや"
"新屋","あらや"
"新家","あらや"
"新谷","あらや"
"荒屋敷","あらやしき"
"新屋敷","あらやしき"
"荒谷地","あらやち"
"荒山","あらやま"
"新山","あらやま"
"新夕","あらゆう"
"蘭","あららぎ"
"檪","あららぎ"
"荒若","あらわか"
"有","あり"
"有明","ありあけ"
"蟻井","ありい"
"有井","ありい"
"有居","ありい"
"有家","ありいえ"
"有泉","ありいずみ"
"有磯","ありいそ"
"有上","ありうえ"
"有牛","ありうし"
"有内","ありうち"
"有采","ありうね"
"有海","ありうみ"
"有浦","ありうら"
"有恵","ありえ"
"有江","ありえ"
"有尾","ありお"
"有岡","ありおか"
"有可","ありか"
"有家","ありか"
"有海","ありかい"
"有方","ありかた"
"有門","ありかど"
"有壁","ありかべ"
"蟻川","ありかわ"
"有川","ありかわ"
